# Prioritization file for occultation-standard
# Version: 1.0.1
# Updated by: Joe P. Renaud
# Updated on: 2026-05-08 17:00:15
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
460,G3220192038446213760,0.848546,600.0,0.0,600.0
461,G3671368006312934144,0.848434,600.0,0.0,600.0
462,G422492913555750912,0.848322,600.0,0.0,600.0
463,G3130409080019249792,0.84821,600.0,0.0,600.0
464,G182850540345232256,0.848098,600.0,0.0,600.0
465,G460011377025979776,0.847987,600.0,0.0,600.0
466,G2150052141522341248,0.847875,600.0,0.0,600.0
467,G441345311719258880,0.847763,600.0,0.0,600.0
468,G204777134368731648,0.847651,600.0,0.0,600.0
469,G3431463571387188864,0.847539,600.0,0.0,600.0
470,G587165082115722880,0.847427,600.0,0.0,600.0
471,G967035697993299072,0.847315,600.0,0.0,600.0
472,G1000268132001345664,0.847204,600.0,0.0,600.0
473,G3400054338109166080,0.847092,600.0,0.0,600.0
474,G3317058325659938688,0.84698,600.0,0.0,600.0
475,G3423035715975909888,0.846868,600.0,0.0,600.0
476,G3358855882234480128,0.846756,600.0,0.0,600.0
477,G3373985986866233344,0.846644,600.0,0.0,600.0
478,G3431282121904657152,0.846532,600.0,0.0,600.0
479,G4283181527787220480,0.846421,600.0,0.0,600.0
480,G238591862864300928,0.846309,600.0,0.0,600.0
481,G3158886706058235904,0.846197,600.0,0.0,600.0
482,G3371205115799389696,0.846085,600.0,0.0,600.0
483,G3426643522866104576,0.845973,600.0,0.0,600.0
484,G3106371866053020672,0.845861,600.0,0.0,600.0
485,G4495705069464896000,0.845749,600.0,0.0,600.0
486,G3430675122765763072,0.845638,600.0,0.0,600.0
